Date,Price,Volume,Open,High,Low,Close,Returns,MA_7,MA_30,DayOfWeek,Month,Year
2010-01-01,101.76405234596768,3399,101.8280765438745,103.01283213633369,99.8314581597817,101.62035916332329,0.0,75.10580565549625,74.88490539158352,4,1,2010
2010-01-02,102.16420955433487,4312,102.46913344746214,102.98239509004722,101.63891825115078,102.2183622909002,0.3932205913015352,75.10580565549625,74.88490539158352,5,1,2010
2010-01-03,103.14294753844062,2728,102.7156831011358,105.04812019744529,102.36403990173312,102.96268513401472,0.958004753695274,75.10580565549625,74.88490539158352,6,1,2010
2010-01-04,105.38384073764207,1498,102.33043149225502,105.73169307413428,101.28077585417957,105.41948022782428,2.1726092308602007,75.10580565549625,74.88490539158352,0,1,2010
2010-01-05,107.25139872779204,2987,105.60878878670648,108.20427525692789,104.92007169324452,107.7413789301581,1.7721483455886975,75.10580565549625,74.88490539158352,1,1,2010
2010-01-06,106.27412084791564,1353,106.92309762106956,108.6983986457693,105.4778581117096,106.60533291699636,-0.91120292272997,75.10580565549625,74.88490539158352,2,1,2010
2010-01-07,107.22420926544125,4871,105.18308787053893,108.64405294693488,104.27830596180404,106.3333162865048,0.8939979083762317,104.74353985964774,74.88490539158352,3,1,2010
2010-01-08,107.07285205714354,2478,107.09735339247862,108.16811824701,106.95105035440102,106.5304296280068,-0.1411595472091575,105.50193981838716,74.88490539158352,4,1,2010
2010-01-09,106.96963320534998,2076,110.87451227211064,112.2501683782622,106.32043387968623,107.24484644161338,-0.096400581296252,106.18842891138932,74.88490539158352,5,1,2010
2010-01-10,107.38023170728836,4648,109.28480383935592,110.16039083873764,105.89380582606556,107.1718979355817,0.3838458538510059,106.7937552212247,74.88490539158352,6,1,2010
2010-01-11,107.52427527844922,2800,107.520058305056,108.31788704320532,106.56274205724549,108.33060541072292,0.1341434720997236,107.09953158419717,74.88490539158352,0,1,2010
2010-01-12,108.9785487854122,3840,109.26313248645998,110.51880856721476,107.44756716437492,108.87608660394028,1.352507146127646,107.3462673067143,74.88490539158352,1,1,2010
2010-01-13,109.7395865105592,2094,108.93316542126593,111.21360297473514,107.58848656260412,109.229031782199,0.6983371806918992,107.84133382994912,74.88490539158352,2,1,2010
2010-01-14,109.86126152705202,2355,109.68644817111772,111.73618197789988,107.80413051537,110.03401913151254,0.1108761390139934,108.2180555816078,74.88490539158352,3,1,2010
2010-01-15,110.30512475979744,4902,107.91168973942226,111.9782158544444,106.53098909416154,110.03925598462736,0.4040216055921863,108.67980882484406,74.88490539158352,4,1,2010
2010-01-16,110.63879908717172,2269,109.34501919385316,112.56018409988438,108.22592058658118,110.269945851046,0.3025012011915962,109.20397537939004,74.88490539158352,5,1,2010
2010-01-17,112.13287816032933,2125,109.85529982318523,112.36465040705902,109.54095687032314,111.9234444882791,1.3504115061664823,109.88292487268158,74.88490539158352,6,1,2010
2010-01-18,111.92771989656352,4911,112.24039719199476,114.2193441236888,110.0855084932546,112.35378279997752,-0.1829599553062944,110.51198838955506,74.88490539158352,0,1,2010
2010-01-19,112.2407875982144,2527,111.9417044314228,112.64139117155476,109.9482641392805,112.38176490782048,0.2797052436520841,110.97802250566966,74.88490539158352,1,1,2010
2010-01-20,111.3866918589127,2561,111.66184524682254,111.82365309314665,109.7017364371081,111.80922388655678,-0.7609495243022457,111.21332326972016,74.88490539158352,2,1,2010
2010-01-21,108.83370204307862,3483,110.79787865937884,112.11149966507688,108.64674390306718,108.31969928621506,-2.292006139358027,111.06652905772395,74.88490539158352,3,1,2010
2010-01-22,109.48732063851898,3858,108.66754890747066,110.8342952141608,108.44470409405822,109.9750808706103,0.6005663532254513,110.94969989754132,74.88490539158352,4,1,2010
