Date,Price,Volume,Open,High,Low,Close,Returns,MA_7,MA_30,DayOfWeek,Month,Year
2014-01-01,69.06089522410592,3357,67.7793034941609,69.72967621606831,66.52425406557214,69.57470022134316,1.1039833054817372,68.78373768790173,68.42013479027833,2,1,2014
2014-01-02,68.43586783342126,1552,69.52110999571103,71.08723104969638,67.26565101281321,69.16695225588195,-0.9050380662695146,68.41902845904102,68.51385804734238,3,1,2014
2014-01-03,68.04547513943575,4976,68.0367009411599,69.39602114230267,66.0949910319071,68.16809381197805,-0.570450417806867,68.14202351849875,68.57786847353425,4,1,2014
2014-01-04,68.1580326703422,4328,67.97129194408642,68.78097342319565,66.99186418749488,67.22958578615757,0.1654151590179786,68.02369704354764,68.66163911858949,5,1,2014
2014-01-05,67.50248764085784,3336,67.07267522811067,69.4046661167293,65.49207130210335,67.39872387392144,-0.9618015717311136,68.00787021452035,68.69235467765826,6,1,2014
2014-01-06,67.57000449803216,4468,68.57184410898256,69.86032798052553,67.10718257578239,67.61623160419552,0.1000212874131989,68.1542232238064,68.6983481220711,0,1,2014
2014-01-07,68.34760863593507,4316,67.2143760745711,70.04085897024696,67.01045380535078,68.07588647939978,1.1508126182314449,68.16005309173288,68.7701981337537,1,1,2014
2014-01-08,68.3118659023869,4092,67.27813152514702,70.12103647813288,66.91547754097671,68.06106596135686,-0.0522955144466985,68.05304890291588,68.82730148473583,2,1,2014
2014-01-09,68.6478816450489,2273,70.94334020423474,71.33860671699328,67.96327341130475,68.84079300610416,0.4918848844535306,68.08333659029127,68.85554876528441,3,1,2014
2014-01-10,69.53437318440851,4067,67.23490727112686,70.3298355716682,66.31354156006071,69.82880080293695,1.2913603713852415,68.29603631100166,68.90843128375664,4,1,2014
2014-01-11,69.2622414283903,4573,70.04180349021063,70.16374140442717,67.4834673534618,69.84156127801839,-0.3913629239117533,68.45378041929423,68.98482490626976,5,1,2014
2014-01-12,69.54703202752466,3418,67.09857586738651,69.84267431232428,65.91332480487925,69.17327349754895,0.4111772782127154,68.74585818881808,69.04139855069027,6,1,2014
